x,y,region
891775.75,6448416.00,1
897775.75,6448416.00,1
899775.75,6448416.00,1
901775.75,6448416.00,1
887775.75,6450416.00,1
889775.75,6450416.00,1
891775.75,6450416.00,1
895775.75,6450416.00,1
897775.75,6450416.00,1
899775.75,6450416.00,1
901775.75,6450416.00,1
885775.75,6452416.00,1
887775.75,6452416.00,1
889775.75,6452416.00,1
891775.75,6452416.00,1
895775.75,6452416.00,1
897775.75,6452416.00,1
885775.75,6454416.00,1
887775.75,6454416.00,1
889775.75,6454416.00,1
891775.75,6454416.00,1
893775.75,6454416.00,1
895775.75,6454416.00,1
897775.75,6454416.00,1
883775.75,6456416.00,1
885775.75,6456416.00,1
887775.75,6456416.00,1
889775.75,6456416.00,1
891775.75,6456416.00,1
893775.75,6456416.00,1
895775.75,6456416.00,1
897775.75,6456416.00,1
899775.75,6456416.00,1
901775.75,6456416.00,1
883775.75,6458416.00,1
885775.75,6458416.00,1
887775.75,6458416.00,1
889775.75,6458416.00,1
891775.75,6458416.00,1
893775.75,6458416.00,1
895775.75,6458416.00,1
897775.75,6458416.00,1
899775.75,6458416.00,1
901775.75,6458416.00,1
903775.75,6458416.00,1
881775.75,6460416.00,1
883775.75,6460416.00,1
885775.75,6460416.00,1
887775.75,6460416.00,1
889775.75,6460416.00,1
891775.75,6460416.00,1
893775.75,6460416.00,1
895775.75,6460416.00,1
897775.75,6460416.00,1
899775.75,6460416.00,1
901775.75,6460416.00,1
903775.75,6460416.00,1
881775.75,6462416.00,1
883775.75,6462416.00,1
885775.75,6462416.00,1
887775.75,6462416.00,1
889775.75,6462416.00,1
891775.75,6462416.00,1
893775.75,6462416.00,1
895775.75,6462416.00,1
897775.75,6462416.00,1
899775.75,6462416.00,1
901775.75,6462416.00,1
881775.75,6464416.00,1
883775.75,6464416.00,1
885775.75,6464416.00,1
887775.75,6464416.00,1
889775.75,6464416.00,1
891775.75,6464416.00,1
893775.75,6464416.00,1
895775.75,6464416.00,1
897775.75,6464416.00,1
899775.75,6464416.00,1
901775.75,6464416.00,1
879775.75,6466416.00,1
881775.75,6466416.00,1
883775.75,6466416.00,1
885775.75,6466416.00,1
887775.75,6466416.00,1
889775.75,6466416.00,1
891775.75,6466416.00,1
893775.75,6466416.00,1
895775.75,6466416.00,1
897775.75,6466416.00,1
899775.75,6466416.00,1
901775.75,6466416.00,1
879775.75,6468416.00,1
881775.75,6468416.00,1
883775.75,6468416.00,1
885775.75,6468416.00,1
887775.75,6468416.00,1
889775.75,6468416.00,1
891775.75,6468416.00,1
893775.75,6468416.00,1
895775.75,6468416.00,1
897775.75,6468416.00,1
899775.75,6468416.00,1
901775.75,6468416.00,1
877775.75,6470416.00,1
879775.75,6470416.00,1
881775.75,6470416.00,1
883775.75,6470416.00,1
885775.75,6470416.00,1
887775.75,6470416.00,1
889775.75,6470416.00,1
891775.75,6470416.00,1
893775.75,6470416.00,1
895775.75,6470416.00,1
897775.75,6470416.00,1
899775.75,6470416.00,1
877775.75,6472416.00,1
879775.75,6472416.00,1
881775.75,6472416.00,1
883775.75,6472416.00,1
885775.75,6472416.00,1
887775.75,6472416.00,1
889775.75,6472416.00,1
891775.75,6472416.00,1
893775.75,6472416.00,1
897775.75,6472416.00,1
877775.75,6474416.00,1
879775.75,6474416.00,1
881775.75,6474416.00,1
883775.75,6474416.00,1
885775.75,6474416.00,1
887775.75,6474416.00,1
889775.75,6474416.00,1
891775.75,6474416.00,1
893775.75,6474416.00,1
875775.75,6476416.00,1
877775.75,6476416.00,1
879775.75,6476416.00,1
881775.75,6476416.00,1
883775.75,6476416.00,1
887775.75,6476416.00,1
889775.75,6476416.00,1
891775.75,6476416.00,1
873775.75,6478416.00,1
875775.75,6478416.00,1
877775.75,6478416.00,1
879775.75,6478416.00,1
881775.75,6478416.00,1
883775.75,6478416.00,1
885775.75,6478416.00,1
887775.75,6478416.00,1
889775.75,6478416.00,1
891775.75,6478416.00,1
873775.75,6480416.00,1
875775.75,6480416.00,1
877775.75,6480416.00,1
879775.75,6480416.00,1
881775.75,6480416.00,1
883775.75,6480416.00,1
885775.75,6480416.00,1
887775.75,6480416.00,1
873775.75,6482416.00,1
875775.75,6482416.00,1
877775.75,6482416.00,1
879775.75,6482416.00,1
881775.75,6482416.00,1
883775.75,6482416.00,1
885775.75,6482416.00,1
887775.75,6482416.00,1
875775.75,6484416.00,1
877775.75,6484416.00,1
879775.75,6484416.00,1
881775.75,6484416.00,1
883775.75,6484416.00,1
885775.75,6484416.00,1
887775.75,6484416.00,1
875775.75,6486416.00,1
877775.75,6486416.00,1
879775.75,6486416.00,1
881775.75,6486416.00,1
883775.75,6486416.00,1
885775.75,6486416.00,1
877775.75,6488416.00,1
879775.75,6488416.00,1
881775.75,6488416.00,1
883775.75,6488416.00,1
879775.75,6490416.00,1
881775.75,6490416.00,1
873775.75,6492416.00,1
875775.75,6492416.00,1
877775.75,6492416.00,1
879775.75,6492416.00,1
881775.75,6492416.00,1
871775.75,6494416.00,1
873775.75,6494416.00,1
875775.75,6494416.00,1
877775.75,6494416.00,1
879775.75,6494416.00,1
863775.75,6496416.00,1
865775.75,6496416.00,1
867775.75,6496416.00,1
869775.75,6496416.00,1
871775.75,6496416.00,1
873775.75,6496416.00,1
875775.75,6496416.00,1
857775.75,6498416.00,1
859775.75,6498416.00,1
861775.75,6498416.00,1
863775.75,6498416.00,1
865775.75,6498416.00,1
867775.75,6498416.00,1
869775.75,6498416.00,1
871775.75,6498416.00,1
873775.75,6498416.00,1
857775.75,6500416.00,1
859775.75,6500416.00,1
861775.75,6500416.00,1
863775.75,6500416.00,1
865775.75,6500416.00,1
867775.75,6500416.00,1
869775.75,6500416.00,1
871775.75,6500416.00,1
873775.75,6500416.00,1
859775.75,6502416.00,1
861775.75,6502416.00,1
863775.75,6502416.00,1
865775.75,6502416.00,1
867775.75,6502416.00,1
869775.75,6502416.00,1
861775.75,6504416.00,1
863775.75,6504416.00,1
