X,Y,mammals,invertebrates,phytoplankton,fish,birds,stressor
3600829.142,4230423.467,0,0,0,0,0,1
3605829.142,4230423.467,0,0,0,0,0,1
3610829.142,4230423.467,0,0,0,0,0,1
3615829.142,4230423.467,0,0,0,0,0,1
3620829.142,4230423.467,0,0,0,0,0,1
3625829.142,4230423.467,0,0,0,0,0,1
3630829.142,4230423.467,0,0,0,0,0,1
3635829.142,4230423.467,0,0,0,0,0,1
3640829.142,4230423.467,0,0,0,0,0,1
3645829.142,4230423.467,0,0,0,0,0,1
3650829.142,4230423.467,0,0,0,0,0,1
3655829.142,4230423.467,0,0,0,0,0,1
3660829.142,4230423.467,0,0,0,0,0,1
3665829.142,4230423.467,0,0,0,0,0,1
3670829.142,4230423.467,0,0,0,0,0,1
3675829.142,4230423.467,0,0,0,0,0,1
3680829.142,4230423.467,0,0,0,0,0,1
3685829.142,4230423.467,0,0,0,0,0,1
3690829.142,4230423.467,0,0,0,0,0,1
3695829.142,4230423.467,0,0,0,0,0,1
3700829.142,4230423.467,0,0,0,0,0,1
3705829.142,4230423.467,0,0,0,0,0,1
3710829.142,4230423.467,0,0,0,0,0,1
3715829.142,4230423.467,0,0,0,0,0,1
3720829.142,4230423.467,0,0,0,0,0,1
3725829.142,4230423.467,0,0,0,0,0,1
3730829.142,4230423.467,0,0,0,0,0,1
3735829.142,4230423.467,0,0,0,0,0,1
3740829.142,4230423.467,0,0,0,0,0,1
3745829.1418000003,4230423.467,0,0,0,0,0,1
3750829.1418000003,4230423.467,0,0,0,0,0,1
3755829.1418000003,4230423.467,0,0,0,0,0,1
3760829.1418000003,4230423.467,0,0,0,0,0,1
3765829.1418000003,4230423.467,0,0,0,0,0,1
3770829.1418000003,4230423.467,0,0,0,0,0,1
3775829.1418000003,4230423.467,0,0,0,0,0,1
3780829.1418000003,4230423.467,0,0,0,0,0,1
3785829.1418000003,4230423.467,0,0,0,0,0,1
3790829.1418000003,4230423.467,0,0,0,0,0,1
3795829.1418000003,4230423.467,0,0,0,0,0,1
3800829.1418000003,4230423.467,0,0,0,0,0,1
3805829.1418000003,4230423.467,0,0,0,0,0,1
3810829.1418000003,4230423.467,0,0,0,0,0,1
3815829.1418000003,4230423.467,0,0,0,0,0,1
3820829.1418000003,4230423.467,0,0,0,0,0,1
3825829.1418000003,4230423.467,0,0,0,0,0,1
3830829.1418000003,4230423.467,0,0,0,0,0,1
3835829.1418000003,4230423.467,0,0,0,0,0,1
3840829.1418000003,4230423.467,0,0,0,0,0,1
3845829.1418000003,4230423.467,0,0,0,0,0,1
3850829.1418000003,4230423.467,0,0,0,0,0,1
3855829.1418000003,4230423.467,0,0,0,0,0,1
3860829.1418000003,4230423.467,0,0,0,0,0,1
3865829.1418000003,4230423.467,0,0,0,0,0,1
3870829.1418000003,4230423.467,0,0,0,0,0,1
3875829.1418000003,4230423.467,0,0,0,0,0,1
3880829.1418000003,4230423.467,0,0,0,0,0,1
3885829.1418000003,4230423.467,0,0,0,0,0,1
