Mapping parameters for Globicephala melas (long-finned pilot whale)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 1624)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Globicephala,melas,-60.75,-55.75,5605:205:4,2149,-0.246754005551338,0.125497996807098,33.8169212341309,34.6616401672363,4.68900008127093,0.0397090017795563,242.445373535156,83
Globicephala,melas,-60.75,-56.25,5605:206:3,2900,-0.162921994924545,0.0734369978308678,33.7447738647461,34.6756553649902,4.61200019344687,0.0346489995718002,240.633834838867,89
Globicephala,melas,-60.75,-56.75,5605:206:4,2979,-0.0745010003447533,0.159946992993355,33.6736183166504,34.6672248840332,4.57500014454126,0.0231960006058216,240.970504760742,105
Globicephala,melas,-60.25,110.25,3611:100:1,4307,0.187182992696762,-0.101453997194767,33.8543701171875,34.6823348999023,2.2819999139756,0.0222500003874302,234.174087524414,641
Globicephala,melas,-59.75,85.75,3508:495:4,4116,-0.35853099822998,-0.0750660002231598,33.8359909057617,34.6709175109863,3.15100001171231,0.109732002019882,230.732498168945,772
Globicephala,melas,-59.75,105.75,3510:495:4,4295,0.182410001754761,-0.0893509984016418,33.8468322753906,34.6824073791504,2.15999991632998,0.0162540003657341,233.040298461914,653
Globicephala,melas,-59.75,112.25,3511:392:3,4440,0.553406000137329,-0.103774003684521,33.8402519226074,34.681640625,2.22799996845424,0.00700099999085069,234.14338684082,695
Globicephala,melas,-59.75,-59.75,5505:499:4,3656,0.365574985742569,0.330352991819382,33.6457939147949,34.6913795471191,3.4670000895857798,0.00457199988886714,232.640777587891,257
Globicephala,melas,-59.25,-49.75,5504:499:2,3825,-0.147104993462563,-0.170670002698898,33.9116630554199,34.6680107116699,2.85999989137053,0.0451369993388653,251.079025268555,306
Globicephala,melas,-59.25,-50.25,5505:390:1,3564,-0.198652997612953,-0.169819995760918,33.9258842468262,34.6553039550781,3.1530000269413,0.046289000660181,251.009902954102,329
Globicephala,melas,-58.75,-49.75,5504:489:4,3629,0.0227060001343489,-0.113137997686863,33.8723945617676,34.6604881286621,3.10300011187792,0.0318519994616508,248.941070556641,344
Globicephala,melas,-58.25,-57.75,5505:487:2,3872,0.738157987594604,0.124022997915745,33.6662673950195,34.698127746582,3.48600000143051,0.000146000005770475,236.926361083984,381
Globicephala,melas,-56.75,-59.25,5505:469:3,3788,4.22776699066162,0.444788992404938,33.9527244567871,34.7058334350586,3.63900000229478,0.000000999999997475243,222.385116577148,389
Globicephala,melas,-56.75,-60.75,5506:360:4,3917,4.35672092437744,0.453709006309509,33.9704895019531,34.7063522338867,3.58200003392994,0,221.997924804688,322
Globicephala,melas,-56.25,-60.75,5506:360:2,4149,4.45576095581055,0.461079001426697,33.9757614135742,34.7071647644043,3.77999991178513,0,221.766708374023,283
Globicephala,melas,-55.75,-35.75,5503:455:4,2525,1.21878802776337,0.426943987607956,33.791561126709,34.6849517822266,2.35800002701581,0.000119999996968545,228.293533325195,143
Globicephala,melas,-55.75,-60.75,5506:350:4,4276,4.60811281204224,0.114495001733303,33.9808349609375,34.6810264587402,4.28499979898334,0,235.769409179688,252
Globicephala,melas,-55.75,-66.25,5506:456:3,545,6.6053671836853,4.03357219696045,33.9973182678223,34.1396789550781,4.40899981185794,0,284.780792236328,87
Globicephala,melas,-55.25,157.75,3515:457:2,3663,5.04652404785156,0.670800983905792,33.9042510986328,34.7100296020508,2.78099998831749,0,216.333068847656,116
